2025-05-19 08:58:43,451 - INFO - 系统监控服务已启动
2025-05-19 08:58:44,693 - INFO - 系统 CPU: 1.7%, 内存: 49.3%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 2
2025-05-19 08:59:45,938 - INFO - 系统 CPU: 0.5%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 2
2025-05-19 09:00:47,183 - INFO - 系统 CPU: 0.0%, 内存: 49.3%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 2
2025-05-19 09:01:48,426 - INFO - 系统 CPU: 0.8%, 内存: 49.4%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:02:49,669 - INFO - 系统 CPU: 0.7%, 内存: 49.2%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:03:50,913 - INFO - 系统 CPU: 0.8%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:04:52,155 - INFO - 系统 CPU: 0.8%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:05:53,399 - INFO - 系统 CPU: 0.8%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:06:54,642 - INFO - 系统 CPU: 0.2%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:07:55,886 - INFO - 系统 CPU: 0.8%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:08:57,127 - INFO - 系统 CPU: 0.3%, 内存: 48.8%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:09:58,371 - INFO - 系统 CPU: 1.0%, 内存: 48.7%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:10:59,613 - INFO - 系统 CPU: 0.3%, 内存: 48.7%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:12:00,854 - INFO - 系统 CPU: 0.3%, 内存: 48.6%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:13:02,098 - INFO - 系统 CPU: 0.5%, 内存: 48.5%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:14:03,340 - INFO - 系统 CPU: 0.3%, 内存: 48.5%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:15:04,583 - INFO - 系统 CPU: 0.5%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:16:05,857 - INFO - 系统 CPU: 1.0%, 内存: 48.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:17:07,101 - INFO - 系统 CPU: 0.0%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:18:08,343 - INFO - 系统 CPU: 0.5%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:19:09,585 - INFO - 系统 CPU: 0.8%, 内存: 49.1%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:20:10,830 - INFO - 系统 CPU: 0.5%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:21:12,073 - INFO - 系统 CPU: 1.3%, 内存: 49.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:22:13,314 - INFO - 系统 CPU: 0.5%, 内存: 50.1%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:23:14,556 - INFO - 系统 CPU: 0.5%, 内存: 49.7%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:24:15,798 - INFO - 系统 CPU: 0.3%, 内存: 49.6%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:25:17,039 - INFO - 系统 CPU: 0.5%, 内存: 49.9%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:26:18,283 - INFO - 系统 CPU: 0.0%, 内存: 49.8%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:27:19,524 - INFO - 系统 CPU: 0.5%, 内存: 49.8%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:28:20,763 - INFO - 系统 CPU: 0.5%, 内存: 49.3%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:29:22,007 - INFO - 系统 CPU: 0.0%, 内存: 49.7%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:30:23,251 - INFO - 系统 CPU: 0.3%, 内存: 49.4%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:31:24,492 - INFO - 系统 CPU: 0.3%, 内存: 49.4%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:32:25,733 - INFO - 系统 CPU: 0.0%, 内存: 49.3%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:33:26,976 - INFO - 系统 CPU: 1.0%, 内存: 50.0%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
2025-05-19 09:34:28,249 - INFO - 系统 CPU: 0.8%, 内存: 49.2%, API 运行: True, 连接: 6, Nginx 运行: True, 连接: 3
